"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
283,1309.95767072834,1396.59986619098,15,20,NA,NA,NA
284,1315.19375047271,1402.29268552415,15,21,NA,NA,NA
285,1320.89930916171,1408.49328471985,15,21,NA,NA,NA
286,1327.06963404202,1415.19440496952,15,21,NA,NA,NA
287,1333.6997716854,1422.3901682292,15,21,NA,NA,NA
288,1340.78452576661,1430.07439954983,15,21,NA,NA,NA
289,1348.31845495355,1438.24062487529,15,21,NA,NA,NA
290,1356.29587097168,1446.88206913109,15,21,NA,NA,NA
291,1364.71083690353,1455.99165468107,15,21,NA,NA,NA
292,1373.55716578301,1465.56200022733,15,21,NA,NA,NA
293,1382.82841954238,1475.58542022493,15,21,NA,NA,NA
294,1392.51790836736,1486.05822382361,15,22,NA,NA,NA
295,1402.61869051293,1496.96853591104,15,22,NA,NA,NA
296,1413.12357262937,1508.30733245576,15,22,NA,NA,NA
297,1424.02511064422,1520.06572647333,15,22,NA,NA,NA
298,1435.31561124175,1532.23453376221,15,22,NA,NA,NA
299,1446.98713397758,1544.80427662234,15,22,NA,NA,NA
300,1459.03149406089,1557.76701070528,15,23,NA,NA,NA
301,1471.44026583225,1571.11556656904,15,23,NA,NA,NA
302,1484.20478695986,1584.83524912184,15,23,NA,NA,NA
303,1497.31616337161,1598.91547077492,15,23,NA,NA,NA
304,1510.76527493545,1613.34538245505,15,23,NA,NA,NA
305,1524.5427818948,1628.11388281442,15,23,NA,NA,NA
306,1538.63913206043,1643.21647129646,15,24,NA,NA,NA
307,1553.04456875518,1658.63615327113,15,24,NA,NA,NA
308,1567.74913950211,1674.35937360839,15,24,NA,NA,NA
309,1582.7427054419,1690.37361566901,15,24,NA,NA,NA
310,1598.01495146017,1706.66662135278,15,24,NA,NA,NA
311,1613.55539700049,1723.22651690059,15,24,NA,NA,NA
312,1629.35340753433,1740.04028154002,15,24,NA,NA,NA
313,1645.39820665494,1757.09944851679,15,25,NA,NA,NA
314,1661.67888875772,1774.38895952917,15,25,NA,NA,NA
315,1678.18443226639,1791.89395778827,15,25,NA,NA,NA
316,1694.90371336036,1809.60136558995,15,25,NA,NA,NA
317,1711.82552015594,1827.49802759033,15,25,NA,NA,NA
318,1728.93856729101,1845.5707293485,15,25,NA,NA,NA
319,1746.23151086067,1863.80621618927,15,25,NA,NA,NA
320,1763.69296364922,1882.19214751651,15,26,NA,NA,NA
321,1781.31151060221,1900.72332627602,15,26,NA,NA,NA
322,1799.07572448122,1919.37902698013,15,26,NA,NA,NA
323,1816.97418164316,1938.14493984607,15,26,NA,NA,NA
324,1834.99547788511,1957.0079009735,15,26,NA,NA,NA
325,1853.12824429629,1975.95482139843,15,26,NA,NA,NA
326,1871.3611630583,1994.97834475524,15,27,NA,NA,NA
327,1889.68298313594,2014.06501196794,15,27,NA,NA,NA
328,1908.08253580165,2033.1974201815,15,27,NA,NA,NA
329,1926.548749938,2052.36296867761,15,27,NA,NA,NA
330,1945.07066706417,2071.54922336079,15,27,NA,NA,NA
331,1963.63745603441,2090.7448400706,15,28,NA,NA,NA
332,1982.23842735841,2109.9469344985,15,28,NA,NA,NA
333,2000.86304709631,2129.13587811037,15,28,NA,NA,NA
334,2019.50095028304,2148.29822195517,15,28,NA,NA,NA
335,2038.14195384039,2167.42260863645,15,28,NA,NA,NA
336,2056.77606893744,2186.50173837545,15,29,NA,NA,NA
337,2075.39351276362,2205.53254316805,15,29,NA,NA,NA
338,2093.98471968174,2224.49345368632,15,29,NA,NA,NA
339,2112.54035173189,2243.3746083072,15,29,NA,NA,NA
340,2131.05130846041,2262.16770167615,15,30,NA,NA,NA
341,2149.50873605188,2280.87457175933,15,30,NA,NA,NA
342,2167.90403574542,2299.47105441755,15,30,NA,NA,NA
343,2186.2288715205,2317.95167583503,15,30,NA,NA,NA
344,2204.47517704059,2336.31018819263,15,31,NA,NA,NA
345,2222.63516184703,2354.5485083512,15,31,NA,NA,NA
346,2240.70131679858,2372.64480403385,15,31,NA,NA,NA
347,2258.66641875588,2390.5943038322,15,31,NA,NA,NA
348,2276.52353451307,2408.39594911496,15,32,NA,NA,NA
349,2294.26602398231,2426.04172657375,15,32,NA,NA,NA
350,2311.88754263996,2443.51989231169,15,32,NA,NA,NA
351,2329.38204324624,2460.82620070196,15,33,NA,NA,NA
352,2346.74377685274,2477.96587334499,15,33,NA,NA,NA
353,2363.96729311541,2494.9188608844,15,33,NA,NA,NA
354,2381.04743993244,2511.68011286249,15,33,NA,NA,NA
355,2397.97936242941,2528.24844456023,15,34,NA,NA,NA
356,2414.75850131593,2544.63349553619,15,34,NA,NA,NA
357,2431.38059063977,2560.81415535082,15,34,NA,NA,NA
358,2447.84165496676,2576.80405787747,15,35,NA,NA,NA
359,2464.13800601571,2592.58780379074,15,35,NA,NA,NA
360,2480.26623877936,2608.16170580255,15,36,NA,NA,NA
