"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2081.50698323057,2114.52095275109,10,31
2,2096.10653492808,2129.0596583008,10,31
3,2110.55396018508,2143.43105783316,10,32
4,2124.84622490033,2157.63699738153,10,32
5,2138.98053751034,2171.66920089035,10,32
6,2152.95434560971,2185.52768893731,10,33
7,2166.76533219886,2199.21294853724,10,33
8,2180.41141158592,2212.71890108912,10,34
9,2193.89072496994,2226.04951685194,10,34
10,2207.20163573247,2239.19421379163,10,34
11,2220.34272446476,2252.16391990557,10,35
12,2233.31278375747,2264.94974135004,10,35
13,2246.11081277935,2277.55398374473,10,36
14,2258.73601167129,2289.97528934884,10,36
15,2271.18777578077,2302.21312735959,10,37
16,2283.46568976172,2314.26904834839,10,37
17,2295.56951862382,2326.14118484821,10,38
18,2307.49921289493,2337.83242658752,10,38
19,2319.25488623593,2349.34109189123,10,39
20,2330.83681963301,2360.6698224523,10,39
21,2342.24545265151,2371.81865493264,10,40
22,2353.48137718805,2382.78839132645,10,40
23,2364.5453312297,2393.58231734757,10,41
24,2375.43819263526,2404.19781160926,10,41
25,2386.16097295192,2414.64292523166,10,42
26,2396.71481127892,2424.91332937018,10,43
27,2407.1009681886,2435.00463769198,10,43
28,2417.32081971325,2444.93686790219,10,44
29,2427.37585140486,2454.70211084767,10,45
30,2437.2676524733,2464.30411167456,10,45
31,2446.99791000663,2473.74631918978,10,46
32,2456.5684032763,2483.02804065701,10,47
33,2465.98099812781,2492.15207129723,10,48
34,2475.23764145694,2501.12339209681,10,48
35,2484.34035576935,2509.9435103433,10,49
36,2493.2912338211,2518.61429310832,10,50
37,2502.0924333357,2527.13874408798,10,51
38,2510.74617179286,2535.51989769835,10,52
39,2519.25472128289,2543.76263522419,10,53
40,2527.62040341986,2551.86876720191,10,53
41,2535.84558430642,2559.84027160634,10,54
42,2543.93266954185,2567.68045435577,10,55
43,2551.88409926541,2575.39240219583,10,56
44,2559.70234322595,2582.97918869135,10,57
45,2567.38989586935,2590.44632815932,10,58
46,2574.94927143475,2597.79250927781,10,59
47,2582.38299905127,2605.02257339075,10,60
48,2589.69361782666,2612.13946986886,10,61
49,2596.8836719202,2619.14610106099,10,62
50,2603.95570559257,2626.04531591805,10,63
51,2610.91225822613,2632.83990374621,10,64
52,2617.75585930973,2639.53351580152,10,66
53,2624.48902338342,2646.12799720572,10,67
54,2631.11424493926,2652.62581925396,10,68
55,2637.63399327538,2659.02944536301,10,69
56,2644.0507073022,2665.34124966221,10,70
57,2650.3667903003,2671.56351159554,10,71
58,2656.58460463131,2677.6984106522,10,72
59,2662.70646640425,2683.74802122844,10,73
60,2668.73464010115,2689.71430762339,10,74
61,2674.67133316729,2695.59926756343,10,76
62,2680.51869057263,2701.40454905882,10,77
63,2686.2787893524,2707.13144506878,10,78
64,2691.95363313606,2712.78140590942,10,79
65,2697.54514667503,2718.35631965529,10,79
66,2703.05517038107,2723.85715120164,10,80
67,2708.48545488758,2729.28493597731,10,81
68,2713.83765564782,2734.64059513318,10,82
69,2719.11332758435,2739.92490163472,10,83
70,2724.31391980501,2745.13847694093,10,84
71,2729.4407704012,2750.28436011922,10,84
72,2734.49510134492,2755.3609128892,10,85
73,2739.47801350106,2760.36817774301,10,85
74,2744.39048177207,2765.30681278022,10,86
75,2749.23335039178,2770.18031233241,10,87
76,2754.00732838549,2774.98759493181,10,87
77,2758.71298521307,2779.72727400782,10,88
78,2763.35074661168,2784.40123789331,10,88
79,2767.92089065421,2789.00675435677,10,88
80,2772.42354403922,2793.54709910164,10,89
81,2776.85867862767,2798.01929906812,10,89
82,2781.22610824082,2802.42280801525,10,89
83,2785.52548573336,2806.75893434997,10,90
84,2789.75630035493,2811.02615062631,10,90
85,2793.91787541241,2815.22291500844,10,90
86,2798.00936624458,2819.34840165512,10,90
87,2802.02975851996,2823.4016088825,10,90
88,2805.97786686761,2827.38135770093,10,90
89,2809.85233385014,2831.28629070755,10,90
90,2813.65162928673,2835.11487134311,10,90
91,2817.37404993349,2838.86538352065,10,90
92,2821.01771952742,2842.53593163219,10,90
93,2824.580589199,2846.12444093925,10,90
94,2828.06043825775,2849.62865835135,10,90
95,2831.45487535386,2853.04615359602,10,90
96,2834.76134001795,2856.37432078248,10,90
97,2837.97710457999,2859.61038036004,10,90
98,2841.09927646692,2862.75229065881,10,89
99,2844.1248008779,2865.79801235958,10,89
100,2847.0504638343,2868.74261378288,10,89
101,2849.8728956005,2871.5830650093,10,88
102,2852.58857447054,2874.31885644454,10,88
103,2855.1938309139,2876.94305529838,10,88
104,2857.68485207266,2879.45494298125,10,87
105,2860.05768660104,2881.849041453,10,87
106,2862.30824983684,2884.12328935056,10,86
107,2864.43232929319,2886.27534519768,10,85
108,2866.4255904579,2888.29810950055,10,85
109,2868.28358288634,2890.18745669263,10,84
110,2870.00174657307,2891.9399361911,10,84
111,2871.57541858628,2893.55390836045,10,83
112,2872.99983994824,2895.02283815062,10,82
113,2874.27016274459,2896.34276711796,10,81
114,2875.38145744437,2897.50961471802,10,80
115,2876.32872041245,2898.51918296036,10,79
116,2877.10688159593,2899.36719382305,10,79
117,2877.71081236558,2900.04948884972,10,78
118,2878.13533349398,2900.56096607429,10,77
119,2878.37522325167,2900.89703634052,10,76
120,2878.42522560361,2901.0533293174,10,74
121,2878.28005848821,2901.02514451784,10,73
122,2877.93442216228,2900.80745584035,10,72
123,2877.38300759593,2900.39532645492,10,71
124,2876.62050490211,2899.78375610004,10,70
125,2875.64161178712,2898.96768829471,10,69
126,2874.44104200867,2897.94201776726,10,68
127,2873.01353383022,2896.70159809558,10,67
128,2871.35385846062,2895.24124955309,10,66
129,2869.45682847015,2893.55585055395,10,64
130,2867.31730617473,2891.64103865485,10,63
131,2864.9302119817,2889.4905365458,10,62
132,2862.29053269171,2887.0990850843,10,61
133,2859.39332975243,2884.46143463018,10,60
134,2856.23374746109,2881.57235414839,10,59
135,2852.80702111365,2878.42664048837,10,58
136,2849.10848509984,2875.01706704779,10,57
137,2845.13358094365,2871.34333792971,10,56
138,2840.87786529007,2867.39765374016,10,55
139,2836.33701783934,2863.17501627325,10,54
140,2831.50684923029,2858.67050404119,10,53
141,2826.38330887516,2853.87904335324,10,53
142,2820.96249274796,2848.79714699144,10,52
143,2815.24065112893,2843.42162128463,10,51
144,2809.21419630728,2837.74592043105,10,50
145,2802.87971024421,2831.76567279234,10,49
146,2796.2339521979,2825.47664534583,10,48
147,2789.27386631139,2818.87599645765,10,48
