"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,1932.66828337039,1951.35584793683,10,27
2,1946.75539567352,1965.40446777348,10,27
3,1960.70230643234,1979.30106662654,10,27
4,1974.50560083743,1993.0422569407,10,27
5,1988.16209621858,2006.6275891772,10,28
6,2001.66884056176,2020.05284715281,10,28
7,2015.0231106239,2033.31410637097,10,28
8,2028.22240966397,2046.41119427528,10,29
9,2041.2644648101,2059.3443944659,10,29
10,2054.14722408208,2072.10574969969,10,30
11,2066.86885308959,2084.69921089696,10,30
12,2079.4277314267,2097.11558346389,10,30
13,2091.82244878291,2109.36327032891,10,31
14,2104.05180079163,2121.43774509812,10,31
15,2116.11478463624,2133.33572548269,10,31
16,2128.01059443415,2145.06135800295,10,32
17,2139.73861641884,2156.60978992047,10,32
18,2151.2984239391,2167.98361551454,10,33
19,2162.68977229475,2179.18199501131,10,33
20,2173.91259342707,2190.2048660507,10,34
21,2184.96698362639,2201.05418915114,10,34
22,2195.85322412524,2211.72841946605,10,35
23,2206.57173794445,2222.23108421904,10,35
24,2217.12310815852,2232.56034478033,10,36
25,2227.50806634287,2242.72004998228,10,36
26,2237.72748673476,2252.70926163451,10,37
27,2247.78238035471,2262.53090329683,10,37
28,2257.67388909947,2272.18612758705,10,38
29,2267.40327981713,2281.67569408427,10,38
30,2276.97193837309,2291.00402309549,10,39
31,2286.38136371518,2300.16999903303,10,40
32,2295.63316194491,2309.1779357458,10,40
33,2304.72904040077,2318.02957114009,10,41
34,2313.67080175861,2326.72597503556,10,42
35,2322.460338153,2335.27102161206,10,42
36,2331.09962532272,2343.66178930318,10,43
37,2339.59071678243,2351.91125944054,10,44
38,2347.93573802195,2360.01622578912,10,45
39,2356.13688073358,2367.98042228225,10,46
40,2364.19639706755,2375.80645835293,10,46
41,2372.11659391447,2383.49696533732,10,47
42,2379.89982721392,2391.0545145195,10,48
43,2387.54849628696,2398.48214007512,10,49
44,2395.06503819078,2405.78367221493,10,50
45,2402.45192209281,2412.96118125185,10,51
46,2409.71164366186,2420.01789844064,10,52
47,2416.8467194735,2426.95685578459,10,53
48,2423.85968142681,2433.78222106562,10,55
49,2430.75307117033,2440.49627171721,10,56
50,2437.52943453428,2447.10169652395,10,57
51,2444.19131596727,2453.60139083407,10,58
52,2450.74125297547,2459.99884847832,10,60
53,2457.18177056319,2466.29753816276,10,61
54,2463.51537567373,2472.49898101823,10,62
55,2469.74455163059,2478.60790810855,10,64
56,2475.87175257932,2484.62508379855,10,65
57,2481.89939793127,2490.55515567818,10,67
58,2487.82986681111,2496.39883923127,10,69
59,2493.66549251094,2502.15962187748,10,70
60,2499.40855695446,2507.83926250698,10,72
61,2505.06128517587,2513.43912365413,10,74
62,2510.62583981837,2518.96245432884,10,75
