"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,3338.58482739247,3444.50746962384,-10,-85
2,3326.30154443695,3432.07311489247,-10,-83
3,3313.88767951796,3419.5451835176,-10,-82
4,3301.34881187009,3406.92755529874,-10,-81
5,3288.69089611514,3394.22516778667,-10,-80
6,3275.9202053739,3381.44318696548,-10,-79
7,3263.04328671775,3368.58696706485,-10,-78
8,3250.06692473585,3355.66201896533,-10,-77
9,3236.99811087498,3342.67398467566,-10,-76
10,3223.84401709033,3329.62861630029,-10,-75
11,3210.57421234318,3316.53175845651,-10,-74
12,3197.27844707217,3303.38933342815,-10,-73
13,3183.94401809111,3290.20732854921,-10,-72
14,3170.52338115288,3276.99178544457,-10,-71
15,3157.0553095906,3263.75072819214,-10,-70
16,3143.54765336659,3250.49019979119,-10,-69
17,3130.00832437404,3237.21459644882,-10,-68
18,3116.44528521966,3223.93008665977,-10,-67
19,3102.86653897548,3210.64285901305,-10,-66
20,3089.28011981409,3197.35911827448,-10,-65
21,3075.69408445341,3184.08508216232,-10,-64
22,3062.11650434611,3170.85094020496,-10,-63
23,3048.55545855549,3157.63313723936,-10,-63
24,3035.01902726483,3144.43609655139,-10,-62
25,3021.51528587127,3131.27471591092,-10,-61
26,3008.05229961812,3118.16651060277,-10,-61
27,2994.63811872246,3105.10907932988,-10,-60
28,2981.28077395656,3092.10704884728,-10,-59
29,2967.98827264358,3079.16429360721,-10,-58
30,2954.76859502934,3066.31965740164,-10,-58
31,2941.62969099337,3053.54195518267,-10,-57
32,2928.57947706359,3040.85999233454,-10,-57
33,2915.62583370011,3028.27009626528,-10,-56
34,2902.77660281466,3015.78181053986,-10,-56
35,2890.03958549329,3003.40453665209,-10,-55
36,2877.42253989104,2991.14118598924,-10,-55
37,2864.93317926825,2979.01351301814,-10,-54
38,2852.57917013942,2967.00688825016,-10,-53
39,2840.36813050662,2955.14932032811,-10,-53
40,2828.30762815044,2943.42760073272,-10,-52
41,2816.40517895296,2931.86992947861,-10,-52
42,2804.66824522819,2920.46513610432,-10,-51
43,2793.10423403694,2909.24151511979,-10,-51
44,2781.72049546414,2898.17917951448,-10,-51
45,2770.52432083822,2887.30628558492,-10,-50
46,2759.52294087333,2876.61803269184,-10,-50
47,2748.72352371689,2866.12536334095,-10,-49
48,2738.13317288604,2855.83942643568,-10,-49
49,2727.75892507831,2845.7571487829,-10,-49
50,2717.6077478433,2835.90059959717,-10,-48
51,2707.68653710351,2826.26413837063,-10,-48
52,2698.00211451422,2816.85431116511,-10,-47
53,2688.56122465371,2807.69149292733,-10,-47
54,2679.3705320367,2798.76748002273,-10,-47
55,2670.43661794551,2790.09023772886,-10,-46
56,2661.76597707497,2781.68063655456,-10,-46
57,2653.36501398856,2773.53075981944,-10,-46
58,2645.24003938494,2765.64880795006,-10,-45
59,2637.39726617554,2758.05227532614,-10,-45
60,2629.84280537524,2750.73515280019,-10,-45
61,2622.58266180983,2743.70400096172,-10,-45
62,2615.62272964523,2736.96526360441,-10,-45
63,2608.96878774498,2730.5364319381,-10,-44
64,2602.62649486373,2724.41690210915,-10,-44
65,2596.60138453068,2718.60408499245,-10,-44
66,2590.89886070256,2713.10773041329,-10,-44
67,2585.52419115392,2707.93879356779,-10,-43
68,2580.48250320949,2703.10227194167,-10,-43
69,2575.77877795408,2698.59863119502,-10,-43
70,2571.41784467558,2694.43316467556,-10,-43
71,2567.40437523174,2690.61099243616,-10,-43
72,2563.74287835721,2687.13705448349,-10,-43
73,2560.43769392799,2684.02243839111,-10,-42
74,2557.49298720099,2681.26615648248,-10,-42
75,2554.91274304703,2678.87135507373,-10,-42
76,2552.70076019594,2676.84218687683,-10,-42
77,2550.86064551274,2675.18259074673,-10,-42
78,2549.39580832413,2673.89628508685,-10,-42
79,2548.30945481459,2672.98676135923,-10,-42
80,2547.6045825112,2672.45727772177,-10,-42
81,2547.28397487659,2672.31098580236,-10,-41
82,2547.35019602865,2672.55406060791,-10,-41
