"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,3436.41809697306,3564.49890838282,-10,-85
2,3423.80691344192,3551.67738121245,-10,-84
3,3411.0689438101,3538.77290771605,-10,-83
4,3398.20995508817,3525.78714474744,-10,-81
5,3385.23602077135,3512.72594806418,-10,-80
6,3372.15347904199,3499.59302953201,-10,-79
7,3358.96889960257,3486.3936472407,-10,-78
8,3345.68905619115,3473.13317311903,-10,-77
9,3332.32090314621,3459.81707508461,-10,-76
10,3318.83936306532,3446.45090241446,-10,-75
11,3305.32182153636,3433.04027360437,-10,-74
12,3291.7367139359,3419.59086621402,-10,-73
13,3278.09170841802,3406.10840833831,-10,-72
14,3264.40914815301,3392.59867143834,-10,-71
15,3250.6649823168,3379.06960767585,-10,-70
16,3236.8847768727,3365.52696926113,-10,-69
17,3223.07634838662,3351.97693639925,-10,-69
18,3209.24756805793,3338.42804224423,-10,-68
19,3195.40635286737,3324.88236954741,-10,-67
20,3181.56065738443,3311.34585516448,-10,-66
21,3167.71846618316,3297.8244504579,-10,-65
22,3153.88778682153,3284.32412010356,-10,-64
23,3140.07664334372,3270.87713766331,-10,-63
24,3126.29307026803,3257.46122078509,-10,-63
25,3112.54510702576,3244.07371982046,-10,-62
26,3098.84079281816,3230.73612300813,-10,-62
27,3085.1881618601,3217.4633306138,-10,-61
28,3071.59523898024,3204.24985927132,-10,-60
29,3058.07003554852,3191.10533013296,-10,-60
30,3044.62054570251,3178.02917685308,-10,-59
31,3031.25474284476,3165.06788250768,-10,-58
32,3017.98057638411,3152.18547040258,-10,-58
33,3004.80596869435,3139.40732937825,-10,-57
34,2991.73881226418,3126.72664375102,-10,-57
35,2978.78696701316,3114.16803808886,-10,-56
36,2965.95825774866,3101.72820022131,-10,-55
37,2953.26047173966,3089.4230178936,-10,-55
38,2940.70135638393,3077.24920408527,-10,-54
39,2928.28861694549,3065.22208372202,-10,-54
40,2916.02991434042,3053.34190206228,-10,-53
41,2903.93286294959,3041.62324767703,-10,-53
42,2892.00502843772,3030.06528883877,-10,-52
43,2880.25392555932,3018.68624267233,-10,-52
44,2868.68701593264,3007.48414679909,-10,-51
45,2857.31170576408,2996.4731697054,-10,-51
46,2846.13534350619,2985.64570231744,-10,-51
47,2835.16521743396,2975.02760401385,-10,-50
48,2824.4085531246,2964.61307988153,-10,-50
49,2813.87251082783,2954.40988234135,-10,-49
50,2803.56418271436,2944.43732578076,-10,-49
51,2793.49058999193,2934.68597743995,-10,-49
52,2783.65867987911,2925.17451323905,-10,-48
53,2774.07532242893,2915.90768445177,-10,-48
54,2764.74730272862,2906.88398249372,-10,-48
55,2755.68133615304,2898.12119818366,-10,-47
56,2746.88403509225,2889.6234704748,-10,-47
57,2738.361925981,2881.39021559655,-10,-47
58,2730.12143975244,2873.43718068187,-10,-46
59,2722.16890766366,2865.77020303478,-10,-46
60,2714.51055695155,2858.38780495903,-10,-46
61,2707.15250632157,2851.30171176371,-10,-46
62,2700.10076127384,2844.51938992723,-10,-45
63,2693.36120927202,2838.04457488073,-10,-45
64,2686.9396147618,2831.87995869323,-10,-45
65,2680.84161404736,2826.03174358713,-10,-45
66,2675.0727100349,2820.51156735451,-10,-44
67,2669.63826685423,2815.3311576405,-10,-44
68,2664.54350436977,2810.47951591895,-10,-44
69,2659.79349259413,2805.96705909401,-10,-44
70,2655.3931460179,2801.79919946015,-10,-44
71,2651.34721787049,2797.98378289529,-10,-43
72,2647.66029432766,2794.53003165303,-10,-43
73,2644.33678868222,2791.43551527336,-10,-43
74,2641.38093549481,2788.70489059471,-10,-43
75,2638.79678474261,2786.34260802265,-10,-43
76,2636.58819598401,2784.35290462866,-10,-43
77,2634.75883255783,2782.73979731452,-10,-43
78,2633.31215583574,2781.50707606467,-10,-43
79,2632.25141954704,2780.66264511932,-10,-42
80,2631.57966419456,2780.20646525296,-10,-42
81,2631.29971158066,2780.14011461741,-10,-42
82,2631.41415946205,2780.46641008977,-10,-42
83,2631.9253763518,2781.18790983833,-10,-42
84,2632.83549648658,2782.30690755839,-10,-42
85,2634.14641497654,2783.825426948,-10,-42
86,2635.85978315465,2785.7452164435,-10,-42
87,2637.97700414167,2788.06774423354,-10,-42
88,2640.49922864202,2790.79419356918,-10,-42
89,2643.42735098481,2793.92545838688,-10,-42
90,2646.76200542352,2797.46213925962,-10,-42
91,2650.50356270652,2801.40453969049,-10,-42
92,2654.65212692965,2805.75266276124,-10,-42
93,2659.20753268076,2810.50620814733,-10,-42
94,2664.16934248486,2815.66456950915,-10,-42
95,2669.53684455749,2821.22683226773,-10,-42
96,2675.30905087215,2827.19177177161,-10,-42
97,2681.48469554677,2833.55785185999,-10,-42
98,2688.06223355253,2840.32322382564,-10,-42
99,2695.03983974723,2847.48572577939,-10,-42
100,2702.4154082339,2855.04288241666,-10,-42
101,2710.18655204413,2862.99190518459,-10,-42
102,2718.3506031444,2871.33123246118,-10,-43
103,2726.90461276238,2880.0609359938,-10,-43
104,2735.84535202895,2889.17281968398,-10,-43
105,2745.16931293071,2898.66285538968,-10,-43
106,2754.87270956672,2908.5267084717,-10,-43
107,2764.95147970194,2918.75974024244,-10,-43
108,2775.40128660951,2929.35701076722,-10,-43
109,2786.21752119261,2940.31328200652,-10,-43
110,2797.39530437631,2951.63069774765,-10,-44
111,2808.92948975924,2963.29908375517,-10,-44
112,2820.81466651404,2975.30958884328,-10,-44
113,2833.04516252563,2987.65582441984,-10,-44
114,2845.61504775554,3000.32598303761,-10,-44
115,2858.51813782088,3013.33094606263,-10,-45
116,2871.74799777585,3026.6573750448,-10,-45
117,2885.29794608423,3040.29186824597,-10,-45
118,2899.16105877109,3054.22670311967,-10,-45
119,2913.33017374226,3068.45783232629,-10,-46
