"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
278,4346.0872892532,4705.10975350979,-10,-132,NA,NA,NA
279,4341.86061972304,4700.05523216191,-10,-132,NA,NA,NA
280,4337.70748849156,4695.02567112598,-10,-132,NA,NA,NA
281,4333.62463211756,4690.00947101666,-10,-131,NA,NA,NA
282,4329.6083943904,4685.03467535249,-10,-131,NA,NA,NA
283,4325.65479651328,4680.07537742106,-10,-131,NA,NA,NA
284,4321.75947046556,4675.1272663781,-10,-131,NA,NA,NA
285,4317.91772924058,4670.18568972594,-10,-131,NA,NA,NA
286,4314.12457051651,4665.2456719682,-10,-131,NA,NA,NA
287,4310.37469431425,4660.30193399548,-10,-131,NA,NA,NA
288,4306.66252125705,4655.34891312661,-10,-131,NA,NA,NA
289,4302.98221136568,4650.40429374194,-10,-130,NA,NA,NA
290,4299.32768332283,4645.44053773912,-10,-130,NA,NA,NA
291,4295.6926341397,4640.45046674102,-10,-130,NA,NA,NA
292,4292.07055915828,4635.4275752996,-10,-130,NA,NA,NA
293,4288.45477232315,4630.36598042224,-10,-129,NA,NA,NA
294,4284.8384266573,4625.28669549471,-10,-129,NA,NA,NA
295,4281.21453487758,4620.15514825216,-10,-129,NA,NA,NA
296,4277.57599008667,4614.96423979894,-10,-129,NA,NA,NA
297,4273.9155864799,4609.70678381385,-10,-129,NA,NA,NA
298,4270.22604000702,4604.40541215344,-10,-128,NA,NA,NA
299,4266.5000089308,4599.02790026723,-10,-128,NA,NA,NA
300,4262.73011422663,4593.56316167168,-10,-128,NA,NA,NA
301,4258.90895976907,4588.01901422032,-10,-127,NA,NA,NA
302,4255.02915225388,4582.3964733258,-10,-127,NA,NA,NA
303,4251.08332080627,4576.66500298058,-10,-127,NA,NA,NA
304,4247.06413622856,4570.81805972631,-10,-127,NA,NA,NA
305,4242.96432984268,4564.88872356708,-10,-126,NA,NA,NA
306,4238.77671188567,4558.83126770093,-10,-126,NA,NA,NA
307,4234.4941894185,4552.64801178181,-10,-125,NA,NA,NA
308,4230.10978371108,4546.35795899666,-10,-125,NA,NA,NA
309,4225.61664706856,4539.91958761905,-10,-125,NA,NA,NA
310,4221.00807906654,4533.36139774218,-10,-124,NA,NA,NA
311,4216.27754216457,4526.6543157439,-10,-124,NA,NA,NA
312,4211.41867667012,4519.79441009872,-10,-123,NA,NA,NA
313,4206.42531502662,4512.79777909229,-10,-123,NA,NA,NA
314,4201.29149540154,4505.62335874198,-10,-123,NA,NA,NA
315,4196.01147455205,4498.31686718232,-10,-122,NA,NA,NA
316,4190.57973994776,4490.8236093686,-10,-122,NA,NA,NA
317,4184.99102113155,4483.1944626318,-10,-121,NA,NA,NA
318,4179.24030030077,4475.36663723355,-10,-121,NA,NA,NA
319,4173.32282209298,4467.38427436053,-10,-120,NA,NA,NA
320,4167.23410256098,4459.20659907674,-10,-120,NA,NA,NA
