"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,3538.08673528345,3693.09080753622,-10,-85
2,3525.1355691851,3679.86282069845,-10,-84
3,3512.0626637966,3666.5620375241,-10,-83
4,3498.87402596339,3653.18653207457,-10,-82
5,3485.57587075363,3639.74470104196,-10,-81
6,3472.1746010415,3626.24166847701,-10,-80
7,3458.65486909705,3612.68261884868,-10,-79
8,3445.07114301112,3599.07278788584,-10,-78
9,3431.40379815914,3585.41745528898,-10,-77
10,3417.65995355603,3571.72193887608,-10,-76
11,3403.84682852471,3557.99158987198,-10,-75
12,3389.97173566124,3544.23178913746,-10,-74
13,3376.04207392069,3530.44794418928,-10,-73
14,3362.06532183796,3516.64548689691,-10,-72
15,3348.04903089696,3502.82987176524,-10,-71
16,3334.00448124704,3489.00999750642,-10,-70
17,3319.93135619737,3475.18917947493,-10,-69
18,3305.84184206315,3461.37181208258,-10,-68
19,3291.74369750877,3447.56796397181,-10,-68
20,3277.64472739867,3433.78570219977,-10,-67
21,3263.55277662135,3420.02476545725,-10,-66
22,3249.47572422209,3406.29075026886,-10,-65
23,3235.42147782839,3392.58927158895,-10,-64
24,3221.39796835274,3378.95482990987,-10,-63
25,3207.41314495777,3365.36794307376,-10,-63
26,3193.47497026906,3351.81573811539,-10,-62
27,3179.59141582087,3338.33134364916,-10,-62
28,3165.77045772021,3324.91850841882,-10,-61
29,3152.02007251428,3311.57482141956,-10,-60
30,3138.34823324639,3298.29615975809,-10,-60
31,3124.76290568524,3285.15318070156,-10,-59
32,3111.27204471215,3272.08072163293,-10,-58
33,3097.88347898516,3259.12697989229,-10,-58
34,3084.60537605849,3246.27443454197,-10,-57
35,3071.44550104611,3233.54567863926,-10,-57
36,3058.41173249835,3220.9348988442,-10,-56
37,3045.51192170669,3208.46262675532,-10,-56
38,3032.75388973721,3196.13517938455,-10,-55
39,3020.14542450831,3183.94962261725,-10,-55
40,3007.69427789837,3171.9245251578,-10,-54
41,2995.40816286878,3160.05632553273,-10,-54
42,2983.29475058814,3148.36083402597,-10,-53
43,2971.36166754355,3136.84041086854,-10,-53
44,2959.61649262545,3125.50515828089,-10,-52
45,2948.06675417265,3114.36374337647,-10,-52
46,2936.71992696483,3103.41762126352,-10,-51
47,2925.58342915035,3092.68359666338,-10,-51
48,2914.66461909783,3082.15144033416,-10,-51
49,2903.97079216053,3071.84527450609,-10,-50
50,2893.50917734376,3061.76544847818,-10,-50
51,2883.28693386575,3051.90940076873,-10,-50
52,2873.31114760393,3042.31059683633,-10,-49
53,2863.58882741917,3032.95176654358,-10,-49
54,2854.12690135154,3023.84152857107,-10,-48
55,2844.93221268243,3015.00636661406,-10,-48
56,2836.01151585879,3006.43282528832,-10,-48
57,2827.37147227632,2998.12822836698,-10,-48
58,2819.01864591995,2990.11718328099,-10,-47
59,2810.95949886073,2982.39187685793,-10,-47
60,2803.20038660974,2974.95623860457,-10,-47
61,2795.74755333089,2967.8250977173,-10,-46
62,2788.60712691549,2961.01190150592,-10,-46
63,2781.78511392298,2954.50254887092,-10,-46
64,2775.28739439334,2948.30905831303,-10,-46
65,2769.11971653782,2942.44180961859,-10,-45
66,2763.2876913161,2936.91367809331,-10,-45
67,2757.79678690897,2931.71942584901,-10,-45
68,2752.65232309665,2926.86493798072,-10,-45
69,2747.8594655544,2922.35592908524,-10,-45
70,2743.42322007754,2918.20704770442,-10,-44
71,2739.34842674953,2914.41728227777,-10,-44
72,2735.6397540671,2910.98845107336,-10,-44
73,2732.30169303779,2907.9255162084,-10,-44
74,2729.33855126565,2905.23323379739,-10,-44
75,2726.75444704158,2902.91614686379,-10,-44
76,2724.55330345544,2900.9785783031,-10,-44
77,2722.73884254734,2899.4290924744,-10,-43
78,2721.31457951612,2898.27011912219,-10,-43
79,2720.28381700294,2897.50165490626,-10,-43
80,2719.64963946831,2897.12707301651,-10,-43
81,2719.41490768065,2897.14949271728,-10,-43
82,2719.5822533347,2897.57177306232,-10,-43
83,2720.15407381736,2898.3965068131,-10,-43
84,2721.13252713874,2899.6260145813,-10,-43
85,2722.51952704543,2901.26233921599,-10,-43
86,2724.31673833235,2903.30724045496,-10,-43
87,2726.52557236934,2905.76218985918,-10,-43
88,2729.14718285724,2908.628366048,-10,-43
89,2732.18246182791,2911.90665025202,-10,-43
90,2735.63203590139,2915.59762219903,-10,-43
91,2739.49626281246,2919.70155634745,-10,-43
92,2743.77522821774,2924.21841848,-10,-43
93,2748.46874279344,2929.14786266935,-10,-43
94,2753.57633963247,2934.48922862549,-10,-43
95,2759.09727194862,2940.24153943361,-10,-43
96,2765.03051109407,2946.40349968908,-10,-43
97,2771.3747448953,2952.97349403522,-10,-43
98,2778.12837631123,2959.94958610733,-10,-43
99,2785.28952241602,2967.32951788536,-10,-43
100,2792.8560137078,2975.11070945583,-10,-43
101,2800.82539374347,2983.29025918196,-10,-43
102,2809.19491909821,2991.86494427995,-10,-43
103,2817.96155964749,3000.83122179736,-10,-43
104,2827.12199916823,3010.18899040622,-10,-44
105,2836.67263625458,3019.93558975738,-10,-44
106,2846.60958554302,3030.06190555979,-10,-44
107,2856.9286792405,3040.56313602559,-10,-44
108,2867.62546894861,3051.43416990586,-10,-44
109,2878.695227776,3062.66958971555,-10,-44
110,2890.1329527308,3074.26367530104,-10,-44
111,2901.93336738402,3086.21393790021,-10,-45
112,2914.09092479484,3098.52082745953,-10,-45
113,2926.59981068806,3111.16814603912,-10,-45
114,2939.45394687391,3124.14900910576,-10,-45
115,2952.64699490036,3137.45625187414,-10,-45
116,2966.17235992784,3151.094497442,-10,-46
117,2980.02319481651,3165.04897546288,-10,-46
118,2994.19240441634,3179.30742531022,-10,-46
119,3008.67265005035,3193.85567949319,-10,-46
120,3023.45635418194,3208.70758508298,-10,-47
121,3038.53570525731,3223.84730501275,-10,-47
122,3053.90266271466,3239.2573355508,-10,-47
123,3069.54896215236,3254.93182697153,-10,-48
124,3085.46612064861,3270.87763027789,-10,-48
125,3101.6454422261,3287.0662835491,-10,-48
126,3118.07802345554,3303.4879465888,-10,-48
127,3134.75475919273,3320.15542648393,-10,-49
128,3151.66634844472,3337.03780656042,-10,-49
129,3168.80330036096,3354.12354142373,-10,-50
130,3186.1559403466,3371.42949053026,-10,-50
131,3203.71441629551,3388.91665754067,-10,-50
132,3221.46870494145,3406.58556180644,-10,-51
133,3239.40861832659,3424.43349827771,-10,-51
134,3257.5238103874,3442.43136773691,-10,-51
135,3275.80378365852,3460.58803444723,-10,-52
136,3294.23789609598,3478.88233577139,-10,-52
137,3312.81536802178,3497.31008300582,-10,-53
138,3331.5252891926,3515.85901325814,-10,-53
139,3350.35662599567,3534.5151889512,-10,-54
140,3369.29822877575,3553.27327081002,-10,-54
141,3388.33883929733,3572.11281322205,-10,-55
142,3407.46709834671,3591.03503336534,-10,-55
143,3426.671553479,3610.01627842644,-10,-56
144,3445.94066691512,3629.05701527201,-10,-56
145,3465.26282359447,3648.14730548428,-10,-57
146,3484.62633938858,3667.26113080413,-10,-57
147,3504.01946948144,3686.40217378219,-10,-58
148,3523.43057282913,3705.542005226,-10,-58
149,3542.84753338859,3724.69758325549,-10,-59
