"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2670.0316764744,2685.51176163231,-10,-80
2,2660.0020502192,2675.56692229319,-10,-78
3,2649.83870529187,2665.51082777814,-10,-76
4,2639.54686948848,2655.34772722573,-10,-75
5,2629.13205124262,2645.08090263857,-10,-73
6,2618.60000120331,2634.71301331651,-10,-71
7,2607.95668135593,2624.2497354633,-10,-70
8,2597.20823920233,2613.69492984019,-10,-68
9,2586.36098561041,2603.05487530004,-10,-67
10,2575.4213754594,2592.33319819268,-10,-64
11,2564.39599049144,2581.54464714574,-10,-64
12,2553.29152395566,2570.67395761174,-10,-63
13,2542.11476674664,2559.73688797851,-10,-62
14,2530.87259481696,2548.73938360707,-10,-61
15,2519.57195769785,2537.68746240029,-10,-60
16,2508.21986799827,2526.58720721308,-10,-59
17,2496.82339177959,2515.44475905043,-10,-58
18,2485.38963972103,2504.26631096033,-10,-57
19,2473.92575900472,2493.05810254157,-10,-56
20,2462.43892585877,2481.82641499623,-10,-55
21,2450.93633870427,2470.5775666641,-10,-54
22,2439.42521185736,2459.32026218336,-10,-54
23,2427.91276974194,2448.06188428979,-10,-53
24,2416.4062415719,2436.8050297051,-10,-52
25,2404.91285646421,2425.55702617507,-10,-51
26,2393.43983894665,2414.32879921297,-10,-51
27,2381.99440482563,2403.123432703,-10,-50
28,2370.58375738113,2391.94838298676,-10,-49
29,2359.21508385734,2380.81388441409,-10,-49
30,2347.89555221869,2369.72178391461,-10,-48
31,2336.63230814235,2358.68202487541,-10,-48
32,2325.43247221936,2347.70012547991,-10,-47
33,2314.30313733752,2336.78343785371,-10,-47
34,2303.25136622079,2325.93898375223,-10,-46
35,2292.28418910034,2315.17354715753,-10,-46
36,2281.40860149414,2304.49364729243,-10,-45
37,2270.63156207279,2293.90745029468,-10,-45
38,2259.95999059048,2283.42012003286,-10,-44
39,2249.40076586109,2273.04132269864,-10,-44
40,2238.96072376076,2262.77327539404,-10,-44
