"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2579.11070481983,2694.98908005668,10,40
2,2595.0737363667,2710.6335019056,10,40
3,2610.85678765817,2726.06896731563,10,41
4,2626.45761261442,2741.31026470786,10,41
5,2641.87422317477,2756.33673480359,10,41
6,2657.10488293413,2771.16887195646,10,42
7,2672.14810051997,2785.78445080066,10,42
8,2687.00262274243,2800.20351445005,10,43
9,2701.6674275497,2814.40634435726,10,43
10,2716.14171682013,2828.41306246464,10,44
11,2730.42490902162,2842.20393699925,10,45
12,2744.5166317679,2855.78242817718,10,45
13,2758.41671430004,2869.16525445172,10,46
14,2772.12517992051,2882.35239736196,10,46
15,2785.64223840542,2895.33312124523,10,47
16,2798.96827841944,2908.1156687982,10,47
17,2812.10385995602,2920.70090929668,10,48
18,2825.04970557388,2933.08498060219,10,49
19,2837.80669790026,2945.28554911188,10,49
20,2850.37586495368,2957.2889211294,10,50
21,2862.7583776717,2969.10188979217,10,50
22,2874.95554158471,2980.73229519795,10,51
23,2886.96878979064,2992.17299789826,10,52
24,2898.79967606542,3003.43437955832,10,52
25,2910.44986811712,3014.51873332399,10,53
26,2921.92114099052,3025.42295645387,10,54
27,2933.2153706264,3036.15588439171,10,54
28,2944.33452757847,3046.72194263899,10,55
29,2955.28067088884,3057.11804316971,10,56
30,2966.05594212132,3067.34794772714,10,56
31,2976.66255955029,3077.42516121245,10,57
32,2987.10281250116,3087.35016133611,10,58
33,2997.3790558371,3097.11384347716,10,59
34,3007.49370458537,3106.72549017939,10,60
35,3017.44922869533,3116.19654077097,10,60
36,3027.24814791907,3125.51355941607,10,61
37,3036.89302680463,3134.69964186005,10,62
38,3046.38646979099,3143.74778050386,10,63
39,3055.73111639321,3152.67641327296,10,64
40,3064.92963646561,3161.46776038076,10,64
41,3073.98472553047,3170.12968776443,10,65
42,3082.89910015953,3178.66722518164,10,66
43,3091.67549339532,3187.08366551041,10,67
44,3100.31665019968,3195.38261337414,10,67
45,3108.82532291689,3203.57250197618,10,68
46,3117.20426673921,3211.65053950287,10,69
47,3125.45623516336,3219.61966206414,10,70
48,3133.58397542691,3227.48268944639,10,71
49,3141.59022391468,3235.24231926232,10,72
50,3149.47770152589,3242.906694615,10,72
51,3157.24910899431,3250.47379162082,10,73
52,3164.90712215443,3257.94502459532,10,74
53,3172.45438714844,3265.32260125932,10,75
