"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
154,3770.98502855783,4013.57848178688,10,60,NA,NA,NA
155,3760.85786316416,4004.78963887702,10,59,NA,NA,NA
156,3750.33149888803,3995.60564616239,10,58,NA,NA,NA
157,3739.40404192123,3986.02586343367,10,58,NA,NA,NA
158,3728.07389602066,3976.06535026168,10,57,NA,NA,NA
159,3716.33977023699,3965.69617996685,10,56,NA,NA,NA
160,3704.20068636842,3954.9210459566,10,56,NA,NA,NA
161,3691.65598612892,3943.75445138218,10,55,NA,NA,NA
162,3678.70533802107,3932.16876213082,10,54,NA,NA,NA
163,3665.3487439035,3920.17747041054,10,54,NA,NA,NA
164,3651.58654524365,3907.77918618884,10,53,NA,NA,NA
165,3637.41942904629,3894.95379894017,10,52,NA,NA,NA
166,3622.84843344902,3881.73372493075,10,52,NA,NA,NA
167,3607.87495297557,3868.08595131927,10,51,NA,NA,NA
168,3592.50074343836,3854.02598168788,10,51,NA,NA,NA
169,3576.72792648148,3839.55624023535,10,50,NA,NA,NA
170,3560.55899375566,3824.65987517288,10,50,NA,NA,NA
171,3543.99681071648,3809.37005351895,10,49,NA,NA,NA
172,3527.04462003742,3793.64673044794,10,48,NA,NA,NA
173,3509.70604462915,3777.52906289056,10,48,NA,NA,NA
174,3491.98509025636,3760.98602024037,10,47,NA,NA,NA
175,3473.88614774356,3744.0474597928,10,47,NA,NA,NA
176,3455.41399476096,3726.72329763936,10,46,NA,NA,NA
177,3436.57379718165,3708.97617901953,10,46,NA,NA,NA
178,3417.37111000107,3690.81934681448,10,45,NA,NA,NA
179,3397.81187780971,3672.28005007221,10,45,NA,NA,NA
180,3377.90243480975,3653.33720760696,10,44,NA,NA,NA
181,3357.64950436657,3634.02516292259,10,44,NA,NA,NA
182,3337.06019808551,3614.31138744092,10,44,NA,NA,NA
183,3316.14201440477,3594.2484383741,10,43,NA,NA,NA
