"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2136.1523195153,2175.76293648576,10,32
2,2150.91783268932,2190.45246386447,10,33
3,2165.52726055355,2204.97461106662,10,33
4,2179.97770610951,2219.32016584115,10,33
5,2194.26651773968,2233.49102068584,10,34
6,2208.39128520694,2247.48485752586,10,34
7,2222.34983529482,2261.29747140468,10,35
8,2236.14022711779,2274.93157864205,10,35
9,2249.76074713098,2288.37935668895,10,35
10,2263.20990386847,2301.64597503848,10,36
11,2276.48642243944,2314.72677622549,10,36
12,2289.58923881084,2327.62512354811,10,37
13,2302.5174939048,2340.3359410664,10,37
14,2315.2705275384,2352.86246927626,10,38
15,2327.84787223261,2365.20236062336,10,38
16,2340.24924456163,2377.35778686469,10,39
17,2352.47454781205,2389.32741683606,10,39
18,2364.52385251839,2401.11401534469,10,40
19,2376.39739836387,2412.71553854945,10,40
20,2388.09558567999,2424.137015425,10,41
21,2399.61896897062,2435.37395741304,10,41
22,2410.96825045941,2446.4353245867,10,42
23,2422.14427367686,2457.31523005012,10,43
24,2433.1480171015,2468.01991284305,10,43
25,2443.98058786795,2478.53939838489,10,44
26,2454.64321555303,2488.89351677752,10,44
27,2465.13724604915,2499.08047515675,10,45
28,2475.46413553267,2509.09838462796,10,46
29,2485.62544453303,2518.94833127993,10,47
30,2495.62283210693,2528.63636633879,10,47
31,2505.45805011984,2538.16247195024,10,48
32,2515.13293763604,2547.52823238966,10,49
33,2524.6494154163,2556.73705227787,10,49
34,2534.00948052118,2565.79440505569,10,50
35,2543.2152010164,2574.69987873166,10,51
36,2552.26871077558,2583.45651834781,10,52
37,2561.17220437418,2592.06739761355,10,53
38,2569.92793206776,2600.53807503334,10,54
39,2578.53819484648,2608.86920547633,10,54
40,2587.00533955708,2617.06391901417,10,55
41,2595.33175408283,2625.12496528608,10,56
42,2603.51986257148,2633.05546062905,10,57
43,2611.57212070086,2640.85850606596,10,58
44,2619.49101097144,2648.54023423429,10,59
45,2627.27903801546,2656.09821932058,10,60
46,2634.93872391163,2663.53786410339,10,61
47,2642.47260349561,2670.86213730824,10,62
48,2649.88321965595,2678.07395891002,10,63
49,2657.17311860633,2685.17619387865,10,64
50,2664.34484512542,2692.17164606385,10,65
51,2671.40093775657,2699.0630522154,10,66
52,2678.34392396034,2705.85307613542,10,67
53,2685.17631521424,2712.54430296002,10,68
54,2691.9006020551,2719.1392335681,10,69
55,2698.51924906064,2725.64027911585,10,70
56,2705.03468976845,2732.04975569646,10,71
57,2711.44932153187,2738.36987912499,10,72
58,2717.76550031371,2744.60275984985,10,73
59,2723.98553542031,2750.75039799269,10,74
60,2730.11168418011,2756.81467851986,10,75
61,2736.14614657209,2762.79736654951,10,76
62,2742.09105981137,2768.70010279903,10,77
63,2747.9484929003,2774.52439917888,10,78
64,2753.72044115516,2780.27163453942,10,79
65,2759.40882071964,2785.94305057829,10,80
66,2765.01546307766,2791.54007214373,10,80
67,2770.54210957928,2797.06543571888,10,81
68,2775.9904059943,2802.51825190913,10,82
69,2781.3618971092,2807.89920009316,10,83
70,2786.65802138386,2813.21028192173,10,83
71,2791.88010568502,2818.45297191162,10,84
72,2797.02936011399,2823.62536731234,10,85
73,2802.10687294641,2828.73125542114,10,85
74,2807.11360570228,2833.7661716161,10,85
75,2812.05038836403,2838.73558065779,10,86
