"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
1,2852.87103416787,3051.08573412714,10,43,NA,NA,NA
2,2869.302888853,3066.8208730449,10,44,NA,NA,NA
3,2885.54789753355,3082.33041011804,10,44,NA,NA,NA
4,2901.60384316384,3097.64278621051,10,45,NA,NA,NA
5,2917.46876451264,3112.7298809178,10,45,NA,NA,NA
6,2933.14095082719,3127.59421025952,10,46,NA,NA,NA
7,2948.61893628875,3142.256271036,10,46,NA,NA,NA
8,2963.90149427944,3156.72101214329,10,47,NA,NA,NA
9,2978.98763147919,3170.9588039485,10,48,NA,NA,NA
10,2993.87658181114,3185.00314619943,10,48,NA,NA,NA
11,3008.56780025297,3198.82430494997,10,49,NA,NA,NA
12,3023.06095653088,3212.44718884746,10,49,NA,NA,NA
13,3037.35592871209,3225.85792655661,10,50,NA,NA,NA
14,3051.45279671106,3239.06504565339,10,50,NA,NA,NA
15,3065.35183572338,3252.07757118259,10,51,NA,NA,NA
16,3079.05350960083,3264.87787121123,10,52,NA,NA,NA
17,3092.55846417997,3277.49120565651,10,52,NA,NA,NA
18,3105.86752057563,3289.90238558826,10,53,NA,NA,NA
19,3118.98166845002,3302.11626270515,10,53,NA,NA,NA
20,3131.90205926711,3314.14895522828,10,54,NA,NA,NA
21,3144.62999954108,3325.98507856907,10,55,NA,NA,NA
22,3157.16694408668,3337.63855130353,10,55,NA,NA,NA
23,3169.51448927874,3349.1147684607,10,56,NA,NA,NA
24,3181.67436632683,3360.40537277852,10,57,NA,NA,NA
25,3193.6484345708,3371.52347483687,10,57,NA,NA,NA
26,3205.43867480148,3382.4745204456,10,58,NA,NA,NA
27,3217.04718261086,3393.25155598447,10,59,NA,NA,NA
28,3228.47616177466,3403.87021189431,10,60,NA,NA,NA
29,3239.72791767008,3414.33300602049,10,60,NA,NA,NA
30,3250.80485073049,3424.63217552246,10,61,NA,NA,NA
31,3261.70944993872,3434.7654386979,10,61,NA,NA,NA
32,3272.44428635962,3444.75576150077,10,62,NA,NA,NA
33,3283.01200671241,3454.61068808522,10,63,NA,NA,NA
34,3293.41532698293,3464.32133833827,10,64,NA,NA,NA
