"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2341.48583006492,2409.70215712616,10,36
2,2356.87893142813,2424.94595612468,10,36
3,2372.10300127109,2440.00670446712,10,37
4,2387.15551571086,2454.87456337647,10,37
5,2402.0342048968,2469.55157990101,10,38
6,2416.73704738149,2484.03665682791,10,38
7,2431.26226417823,2498.32561547112,10,39
8,2445.60831253919,2512.42332113582,10,39
9,2459.77387948824,2526.3217290074,10,40
10,2473.75787514191,2540.02845151767,10,40
11,2487.55942585154,2553.53412818063,10,41
12,2501.17786719862,2566.84865233408,10,41
13,2514.61273687466,2579.96242392339,10,42
14,2527.86376747561,2592.88529145819,10,42
15,2540.93087766577,2605.60967867825,10,43
16,2553.81417097249,2618.14305288489,10,43
17,2566.51391966398,2630.48212555408,10,44
18,2579.03056317335,2642.61645973752,10,44
19,2591.36469948967,2654.57509159444,10,45
20,2603.5170779936,2666.34161121317,10,45
21,2615.48859237659,2677.9271321588,10,46
22,2627.28027366067,2689.32394984506,10,47
23,2638.89328333366,2700.54017453221,10,47
24,2650.32890661286,2711.5791839637,10,48
25,2661.58854584795,2722.43682792471,10,49
26,2672.67371407208,2733.11993582708,10,49
27,2683.58602870775,2743.63157571942,10,50
28,2694.32720543229,2753.97017910287,10,51
29,2704.89905220567,2764.14090339986,10,51
30,2715.30346346143,2774.14961253724,10,52
31,2725.54241445959,2783.99425419298,10,53
32,2735.6179557987,2793.67808433843,10,54
33,2745.53220808236,2803.20755873043,10,54
34,2755.28735673409,2812.58488696357,10,55
35,2764.8856469526,2821.81516844493,10,56
36,2774.32937879871,2830.89434443783,10,57
37,2783.62090240318,2839.82882435515,10,58
38,2792.76261328441,2848.62458846304,10,58
39,2801.75694776332,2857.2832397295,10,59
40,2810.60637846256,2865.80677199125,10,60
41,2819.31340987603,2874.1925174226,10,61
42,2827.88057399487,2882.46718710592,10,62
43,2836.31042597515,2890.60559643702,10,63
44,2844.60553983302,2898.62165045926,10,64
45,2852.7685041529,2906.52010689787,10,64
46,2860.80191779453,2914.30284113579,10,65
47,2868.70838558538,2921.97210809524,10,66
48,2876.4905139854,2929.53079584203,10,67
49,2884.15090671199,2936.98170966806,10,68
50,2891.69216031404,2944.32756643311,10,69
51,2899.11685968504,2951.57098907472,10,70
52,2906.42757350641,2958.71450128047,10,71
53,2913.62684961379,2965.7605223179,10,72
54,2920.71721028049,2972.71363366904,10,72
55,2927.70114741384,2979.57414246992,10,73
56,2934.58111766183,2986.34395253056,10,74
57,2941.35953742954,2993.02505538715,10,75
58,2948.03877780612,2999.61931428373,10,76
59,2954.6211594054,3006.12845976272,10,77
60,2961.10894712468,3012.55758245355,10,77
61,2967.50434482831,3018.90559210991,10,78
62,2973.8094899642,3025.17325851401,10,79
63,2980.02644812329,3031.36177565606,10,80
64,2986.15720755351,3037.47729795496,10,80
65,2992.20367364132,3043.51670657825,10,81
66,2998.16766337527,3049.48014755927,10,82
67,3004.05089980739,3055.37455166419,10,82
68,3009.85500652909,3061.19544311773,10,83
69,3015.58150217961,3066.94548619632,10,83
70,3021.23179500537,3072.62716263512,10,84
71,3026.80717748956,3078.23758087127,10,84
72,3032.30882107154,3083.77486192032,10,84
73,3037.737770976,3089.24859068109,10,86
74,3043.09494117186,3094.6603625403,10,86
75,3048.3811094809,3100.00132064184,10,86
76,3053.59691285569,3105.27442790529,10,87
77,3058.74284284644,3110.48303073965,10,87
78,3063.81924127533,3115.62221282539,10,87
79,3068.82629613685,3120.69414661364,10,88
80,3073.76403774157,3125.70077110506,10,88
81,3078.63233512016,3130.63786589599,10,88
82,3083.43089270362,3135.50521288597,10,88
83,3088.15924729472,3140.30303532701,10,89
84,3092.81676534486,3145.03298325455,10,89
85,3097.40264054938,3149.69092974694,10,89
86,3101.91589177369,3154.27592513472,10,89
87,3106.35536132131,3158.7868324681,10,89
88,3110.71971355415,3163.22232598571,10,89
89,3115.0074338744,3167.58088996548,10,89
90,3119.21682807618,3171.86081796632,10,89
91,3123.34602207452,3176.06021246877,10,89
92,3127.39296201782,3180.17698492112,10,89
93,3131.35541478937,3184.208856197,10,89
94,3135.23096890211,3188.153357469,10,89
95,3139.01703578989,3192.00783150199,10,89
96,3142.71085149752,3195.76943436854,10,89
97,3146.30947877041,3199.43513758761,10,89
98,3149.8098095437,3203.00516570486,10,88
99,3153.20856782929,3206.47387117395,10,88
100,3156.50231299779,3209.83705729776,10,88
101,3159.68744345124,3213.09098606186,10,88
102,3162.7602006808,3216.23606325399,10,87
103,3165.71667370199,3219.26637824713,10,87
104,3168.55280385881,3222.17577371364,10,87
105,3171.26438998632,3224.96546330329,10,86
106,3173.84709391962,3227.62811814686,10,86
107,3176.29644633588,3230.15680095251,10,86
108,3178.60785291432,3232.5569627357,10,84
109,3180.77660079786,3234.82319645244,10,84
110,3182.79786533856,3236.94169721889,10,84
111,3184.66671710792,3238.91070628143,10,83
112,3186.37812915204,3240.72959921698,10,83
113,3187.92698447066,3242.3921250934,10,82
114,3189.3080836982,3243.89186251811,10,82
115,3190.51615296468,3245.23002885658,10,81
116,3191.54585191373,3246.39575105042,10,80
