"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,1887.453525174,1898.17280109809,5,30
2,1901.36582640077,1912.11113247823,5,30
3,1915.14182444462,1925.90932630008,5,31
4,1928.77799520667,1939.56316132452,5,31
5,1942.27104274296,1953.06923195989,5,32
6,1955.61789838113,1966.4255397086,5,32
7,1968.81571942888,1979.62771689577,5,32
8,1981.86188749025,1992.67521061593,5,33
9,1994.7540064062,2005.56376713184,5,33
10,2007.48989983687,2018.29281718672,5,34
11,2020.0676085033,2030.85933446362,5,34
12,2032.48538710643,2043.26262242148,5,35
13,2044.7417009423,2055.50045311308,5,35
14,2056.83522223152,2067.57240637714,5,36
15,2068.7648261821,2079.47661609441,5,36
16,2080.52958680384,2091.21334332777,5,37
17,2092.12877249303,2102.78064332144,5,37
18,2103.56184140559,2114.17986140282,5,38
19,2114.82843663648,2125.40898498364,5,39
20,2125.92838122295,2136.4694871989,5,39
21,2136.86167298858,2147.36058379715,5,40
22,2147.62847924475,2158.08267779454,5,40
23,2158.22913136487,2168.63712023729,5,41
24,2168.66410700423,2179.02338034966,5,42
25,2178.9340711372,2189.24310651386,5,42
26,2189.03980338243,2199.2972510111,5,43
27,2198.98223502042,2209.18626808143,5,44
28,2208.76243285728,2218.91199946692,5,44
29,2218.38159332766,2228.47603618741,5,45
30,2227.84103655969,2237.8792090447,5,46
31,2237.14220041157,2247.12320649775,5,47
32,2246.28663448792,2256.2105693158,5,47
33,2255.2759941436,2265.14258588232,5,48
34,2264.11203448142,2273.92102782654,5,49
35,2272.79660434968,2282.54797395138,5,50
36,2281.33164034431,2291.0256539033,5,50
37,2289.7191608198,2299.35679510886,5,51
38,2297.9612599123,2307.54306494192,5,52
39,2306.06010157756,2315.58682726099,5,53
40,2314.01791364566,2323.49049990737,5,54
41,2321.83698189397,2331.25654816928,5,55
42,2329.51964413927,2338.8874782977,5,56
43,2337.06828434926,2346.38583107514,5,57
44,2344.48532677375,2353.75431008559,5,57
45,2351.77323009488,2360.99550445719,5,58
46,2358.9344815961,2368.11185771557,5,59
47,2365.97159134896,2375.10599127023,5,60
48,2372.88708641705,2381.98052988871,5,61
49,2379.68350507609,2388.73809557915,5,62
50,2386.36339104957,2395.38130152779,5,63
51,2392.92928775922,2401.91274609111,5,64
52,2399.38373258988,2408.33500684274,5,65
53,2405.72925116875,2414.65063467514,5,66
54,2411.96835165921,2420.86214795664,5,67
55,2418.10351906986,2426.97202674442,5,68
56,2424.13720958004,2432.9827070547,5,69
57,2430.07184488335,2438.8965751915,5,70
58,2435.9098065517,2444.71623048669,5,70
59,2441.65343042241,2450.44381590502,5,71
60,2447.30500101242,2456.08144832874,5,72
61,2452.86674596327,2461.63126587097,5,73
62,2458.3408305222,2467.09532943297,5,74
63,2463.72935206488,2472.47561742817,5,75
64,2469.03433466591,2477.77456635019,5,75
65,2474.25772372433,2482.99369511421,5,76
66,2479.40138065178,2488.13452362083,5,77
67,2484.46707763143,2493.19875599983,5,77
68,2489.45649245693,2498.18875400546,5,78
69,2494.37120346068,2503.10503157831,5,79
70,2499.2126845415,2507.94928134015,5,79
71,2503.98230030228,2512.72316618072,5,80
72,2508.68130130843,2517.42691337759,5,80
73,2513.31081947856,2522.06291890689,5,81
74,2517.8718636187,2526.63054443524,5,81
75,2522.36531511218,2531.13216506839,5,82
76,2526.79192377685,2535.56701273242,5,82
77,2531.15230390164,2539.93665721367,5,83
78,2535.44693047476,2544.24096815719,5,83
79,2539.67613561505,2548.47992843967,5,83
80,2543.8401052187,2552.65475200396,5,84
81,2547.93887583266,2556.76443756801,5,84
82,2551.97233176627,2560.80886172331,5,84
83,2555.94020245182,2564.7879427071,5,85
84,2559.84206006507,2568.70157573558,5,85
85,2563.67731741538,2572.54861542634,5,85
86,2567.44522611548,2576.32832404849,5,85
87,2571.14487503967,2580.0397984393,5,85
88,2574.775189079,2583.68196871866,5,85
89,2578.33492820124,2587.25359731351,5,85
90,2581.82268682271,2590.75327829956,5,85
91,2585.23689349816,2594.17943706678,5,85
92,2588.57581093462,2597.53033031415,5,85
93,2591.83753633351,2600.80404637881,5,85
94,2595.02000206536,2603.99850590333,5,85
95,2598.12097667988,2607.11146284446,5,85
96,2601.13806625373,2610.14050582555,5,85
97,2604.06871607714,2613.08305983395,5,85
98,2606.91021267982,2615.93697206232,5,84
99,2609.65968619546,2618.69903674159,5,84
100,2612.3141130635,2621.36602876825,5,84
101,2614.87031906539,2623.93477268981,5,83
102,2617.32498269248,2626.40300923223,5,83
103,2619.6746388408,2628.76620853997,5,83
104,2621.91568282781,2631.02111930413,5,82
105,2624.0443747252,2633.16462514008,5,82
106,2626.05684400067,2635.1918575949,5,81
107,2627.9490944613,2637.10039862514,5,81
108,2629.71700948997,2638.8845688785,5,80
109,2631.35635756598,2640.54185899588,5,80
110,2632.86279806002,2642.06660085564,5,79
111,2634.2318872934,2643.455425672,5,79
112,2635.45908485066,2644.70347939987,5,78
113,2636.53976013457,2645.80589909784,5,77
114,2637.4691991518,2646.75910105006,5,77
115,2638.24261151762,2647.55757161769,5,76
116,2638.85513766754,2648.19652468702,5,75
117,2639.30185626368,2648.67140588136,5,75
118,2639.57779178379,2648.97770111131,5,74
119,2639.67792228065,2649.10995104365,5,73
120,2639.59718729961,2649.06322673526,5,72
121,2639.33049594255,2648.83255392762,5,71
122,2638.87273506605,2648.41292081225,5,70
123,2638.21877760262,2647.79938702174,5,70
124,2637.36349099341,2646.98703540631,5,69
125,2636.30174572147,2645.97050559051,5,68
126,2635.02842393501,2644.74472308308,5,67
127,2633.53842815036,2643.30461704503,5,66
