"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,1887.453525174,1901.53184015446,15,22
2,1901.36582640077,1915.27790519897,15,22
3,1915.14182444462,1928.86801663789,15,22
4,1928.77799520667,1942.30568062412,15,22
5,1942.27104274296,1955.58418284897,15,23
6,1955.61789838113,1968.70387771764,15,23
7,1968.81571942888,1981.65872173279,15,23
8,1981.86188749025,1994.4462570908,15,23
9,1994.7540064062,2007.06427166029,15,23
10,2007.48989983687,2019.51079605863,15,23
11,2020.0676085033,2031.78656889034,15,24
12,2032.48538710643,2043.88924144031,15,24
13,2044.7417009423,2055.81600432963,15,24
14,2056.83522223152,2067.56581834376,15,24
15,2068.7648261821,2079.13786715185,15,24
16,2080.52958680384,2090.53542541612,15,25
17,2092.12877249303,2101.75484942523,15,25
18,2103.56184140559,2112.79539738686,15,25
19,2114.82843663648,2123.65708900922,15,25
20,2125.92838122295,2134.3431771718,15,26
21,2136.86167298858,2144.85279688304,15,26
22,2147.62847924475,2155.18481131746,15,26
23,2158.22913136487,2165.33998482452,15,26
24,2168.66410700423,2175.32032804767,15,27
25,2178.9340711372,2185.13045901604,15,27
26,2189.03980338243,2194.76707668112,15,27
27,2198.98223502042,2204.23478364853,15,28
28,2208.76243285728,2213.53443142155,15,28
29,2218.38159332766,2222.66523738194,15,28
30,2227.84103655969,2231.63248494648,15,29
31,2237.14220041157,2240.43708747407,15,29
32,2246.28663448792,2249.0786865551,15,29
33,2255.2759941436,2257.56386550368,15,30
34,2264.11203448142,2265.89186135502,15,30
35,2272.79660434968,2274.0640051933,15,31
36,2281.33164034431,2282.08806864372,15,31
37,2289.7191608198,2289.96095527069,15,31
38,2297.9612599123,2297.7292385459,15,36
39,2306.06010157756,2305.34189774446,15,36
40,2314.01791364566,2312.84566831138,15,35
41,2321.83698189397,2320.16769687417,15,35
42,2329.51964413927,2327.3521699748,15,35
43,2337.06828434926,2334.40279070357,15,34
44,2344.48532677375,2341.32010831442,15,35
45,2351.77323009488,2348.10949756907,15,35
46,2358.9344815961,2354.77316661496,15,35
47,2365.97159134896,2361.31414351886,15,35
48,2372.88708641705,2367.73547138182,15,35
